"Reference","Qty","Value","DNP","Exclude from BOM","Exclude from Board","Footprint","Datasheet"
"C2","1","100nF","","","","Capacitor_SMD:C_1206_3216Metric","~"
"C3","1","10uF","","","","Capacitor_SMD:CP_Elec_6.3x5.8","~"
"D1","1","BZT52C15-DIO","","","","Diode_SMD:D_SOD-123F","https://diotec.com/tl_files/diotec/files/pdf/datasheets/bzt52b2v4.pdf"
"D2","1","SS54BF-DC","","","","Diode_SMD:D_SMB","http://www.jameco.com/Jameco/Products/ProdDS/1538777.pdf"
"D3","1","SMBJ18A-LF","","","","Diode_SMD:D_SMB","https://www.st.com/resource/en/datasheet/sm6t.pdf"
"F1","1","TR1-2410TD5-R","","","","Library:FUSC6127X287N","https://www.eaton.com/content/dam/eaton/products/electronic-components/resources/data-sheet/eaton-2410td-high-current-fast-acting-smt-brick-fuse-data-sheet-elx1195-en.pdf"
"IC1","1","TC4420EOA","","","","SOIC127P600X175-8N","http://componentsearchengine.com/Datasheets/1/TC4420EOA.pdf"
"J1","1","COM","","","","Connector_PinHeader_2.54mm:PinHeader_2x04_P2.54mm_Vertical","~"
"J2","1","BULB","","","","TerminalBlock_Phoenix:TerminalBlock_Phoenix_MKDS-1,5-2_1x02_P5.00mm_Horizontal","~"
"J3","1","PWR","","","","TerminalBlock_Phoenix:TerminalBlock_Phoenix_MKDS-1,5-2_1x02_P5.00mm_Horizontal","~"
"Q1","1","AOD4184A","","","","Library:AOD4185","https://www.arrow.com/en/products/aod4184a/alpha-and-omega-semiconductor"
"R1","1","100R","","","","Resistor_SMD:R_1206_3216Metric","~"
"R2","1","47K","","","","Resistor_SMD:R_1206_3216Metric","~"
"R3","1","10R","","","","Resistor_SMD:R_1206_3216Metric","~"
"R4","1","100K","","","","Resistor_SMD:R_1206_3216Metric","~"
